corporation,lastmonth_activity,lastyear_activity,number_of_employees,exited
kyiu,94,146,22,0
eacy,2673,511,167,1
jgjt,4429,340,552,0
glzw,32,436,1,1
jzxl,1488,285,225,1
thbv,74,122,32,1
ckla,2719,305,7,0
tukh,33,116,649,0
qwni,41,8599,12,0
ieqd,1791,149,126,1
uqbh,944,316,4,1
qedu,54,441,352,1
amdt,3559,375,22,0
nkzi,96,299,413,0
iytn,58,10604,2,1
cbqk,1672,56,327,1
pvwa,14,16,1,1
jxcj,91,53,8,1
mrje,33,7525,358,0
iocb,49,1184,35,1
umlo,12,14,199,0
lsbb,940,291,22,0
zush,2476,58,52,1
dzux,41,88,634,0
cuzh,96,460,16,0
oqyf,1224,4127,49,0
utyr,1509,5141,258,1
eish,97,60,2,0
vhwk,98,203,473,1
zcij,22,82,913,1
eqku,290,999,3058,0
smjv,51,33,719,0
ekls,44130,328,143,0
wdyl,1974,3674,3,1
bcqk,59,572,21,1
acsi,13,318,22,0
isxt,19,3244,6,1
vnha,93,109,253,1
vvxl,1130,410,32,1
dmvo,50,393,1769,0
qbkb,766,5144,21,1
kwrd,4973,570,525,0
qcnb,69,872,77,0
decd,76,568,3,0
scws,551,220,1806,1
wwfp,2679,8645,12,0
udmq,85,3757,41,0
cvvx,727,235,487,1
wnum,71,102,209,1
guyc,27,1313,197,0
gxlf,94,135,17,1
gcel,22,524,159,0
oomv,1333,302,14,1
rwfp,47,116,436,1
kaca,70,6,385,1
fnbs,41,1002,39,1
ylii,1,218,0,1
xojq,91,204,14,0
andl,79,257,20,0
dasp,1665,2461,19,0
bccm,2405,362,257,0
gzvu,41,5732,1852,1
blck,275,383,0,0
xyep,100,581,377,0
zhqi,781,110,21,1
ajrt,11,4838,19,0
xpeo,1751,7826,238,0
youj,29,1947,22,1
agiv,2259,1072,235,1
qddw,2444,205,12,1
gxyh,69,650,103,1
mizc,4320,270,0,1
nqgn,1437,403,12,0
eofw,82,7314,9,0
rnht,4343,386,14,0
ctax,56,428,21,1
zgqr,919,124,8,1
lujn,4310,127,390,0
sdrz,114,418,196,1
ifwp,3,3024,11,0
onzr,72,82,246,0
bsmq,1587,454,1239,1
uysf,49,218,59,1
uuzs,2830,115,2692,1
tmye,703,397,191,0
aqxc,28,109,7,0
yjqx,88,8858,13,1
rmym,993,129,13,0
oqox,75,387,6,0
eszr,191,365,70,1
corn,83,178,329,0
pias,2445,222,22,1
lrpm,15,382,1190,1
dzmk,33,12,52,0
ycha,20,8567,9,1
uvmx,38547,638,6,0
fshy,1043,206,676,0
gpwu,827,9232,18,1
pgas,56,35,4,1
ylht,60,338,252,1
hvpy,2477,3,20,0
elcy,9,157,215,0
bfgp,29,416,19,1
aajn,9,528,24,1
vsrl,4146,557,191,0
mery,2890,382,168,0
xtsi,2103,331,59,0
dfag,0,279,168,1
urdi,851,625,7,1
pesr,7,357,0,0
mlou,41,3505,24,0
jfdl,630,144,4,1
yomj,4814,7638,405,1
trai,1017,652,8,1
lspu,398,385,524,0
dxbs,9,866,10,1
kfjr,1933,305,306,0
xtju,862,8948,476,1
nafj,59,7156,437,1
uiln,2646,84,7,1
wpyn,4665,245,533,0
lwck,2755,894,123,1
kfum,9,166,19,1
fdwo,80,27,17,0
dewg,18,114,2,1
cqbo,76,465,12,0
mmuj,6,281,51,1
vhvr,24,88,7,0
pjpi,1031,242,213,0
rdzu,19,147,0,1
vmal,1409,42,22,1
hyno,24,2452,57,0
shii,82,53,212,1
tdyn,56,684,2799,0
zogr,59,364,500,1
oxhg,104,6808,623,1
znik,2272,82,0,0
xlcu,706,326,390,1
dipl,64,526,4,0
zrak,77,634,107,1
bkqa,42,48,22,0
atal,89,254,18,1
yuaj,727,81,12,0
biyu,92,138,21,0
hfau,81,1025,89,0
rhbz,54,615,12,1
nhvc,1420,5263,21,0
pjua,3378,6698,596,0
dqom,910,262,773,0
bcek,8,456,724,0
boms,2132,227,23,0
ixsr,4,346,196,1
vyxe,57,360,143,0
ldaq,3950,139,248,1
avef,1419,166,242,0
oxxe,11,487,1707,1
vpie,2879,345,20,1
hftq,2377,464,14,1
cyyn,1945,508,1077,1
czwr,17,1041,1675,1
camg,41,967,17,0
aybk,79,446,93,0
saxa,2,61,21,1
hhvk,62,649,134,0
vquh,59,361,112,1
cdtm,100,431,418,0
rkts,39,376,7,0
sdcp,52,484,17,0
zfkm,17,6790,1,0
vqpe,2858,165,600,1
xqxo,815,94,1,0
lsil,89,270,147,1
getq,3657,342,15,0
htqt,66,7054,25,0
rtrm,2177,285,189,1
fnau,33,57,25,1
ehrl,2970,2647,515,0
ivit,38,91,135,0
shym,49,30,14,1
vldx,6,195,408,1
uftd,1699,7752,565,1
xztp,67,266,1524,0
zbba,814,1040,77,1
rgjf,1847,4374,230,0
wbqz,56,1090,38,1
xvjg,737,134,566,1
tqee,20,359,5,0
svao,51,349,24,0
mdbe,83,50,3511,0
qqhb,2249,126,317,1
erpx,2782,75,13,0
bfln,1678,138,127,0
jkiq,10,372,280,0
puwi,413,157,227,0
zuln,43,174,206,1
hatc,288,466,195,0
ghbm,2631,957,19,0
afmh,74,8712,84,1
qkra,41,521,44,0
pwjo,1623,25,437,0
ktjy,1,545,12,1
qvjm,226,151,3936,1
jdnu,892,639,179,1
pefq,1872,2450,78,0
ulpe,56,46,23,0
dxpn,1511,1819,84,0
uxsz,1559,5784,230,1
ggos,70,192,524,1
koue,93,904,31,1
nkil,74,425,16,1
pyhl,1035,1011,84,0
jpyg,59,4106,11,0
jhdl,50,339,10,0
mrox,10,5797,426,0
tqes,6,362,155,0
zmvm,43,429,184,0
kltv,53,329,17,1
zhan,85,100,8,0
rbaq,1926,1069,34,1
cqmp,1568,795,124,0
kdnl,962,514,404,1
fbww,52,9567,20,1
kdkl,51,407,15,0
ndom,129,8787,17,1
qqcc,4920,340,202,0
xoav,78,90,6,1
yswp,61,42,3,0
ngte,9,378,9,0
unva,765,105,24,0
khhd,4319,5764,21,1
hyww,56,64,1825,1
tivl,58,479,3,0
vdns,75,559,447,1
bhtl,39,1053,20,1
nfoh,4,5317,364,0
hzvj,79,408,33,0
xoak,68,60,21,1
xaan,16,890,6,0
ctgy,84,388,633,0
sayy,18,455,52,1
znoy,1783,7,197,0
vdhj,83,124,57,0
sihq,88,8444,18,1
pvhk,16,96,3,1
tnpx,60,10,532,0
qwwo,87,1073,2017,0
wdlw,72,7879,35,1
vocp,84,6,314,1
nxjb,4918,55,449,0
ngrd,1234,103,3782,1
olyi,2,3563,331,0
tpdv,35,136,0,0
tzcs,69,486,1681,0
vxjf,749,241,539,0
ecsu,64,1046,13,1
geff,586,907,222,1
swkn,35,22,18,1
prpi,2412,295,117,0
qvqh,53,591,17,1
ficc,69,69,305,1
vnur,82,100,14,1
ydgt,2930,527,518,0
hxyu,608,512,471,0
uoex,1390,6589,454,0
voxd,70,673,180,1
yrxz,65,95,16,0
zkni,1815,584,99,1
zpgw,98390,970,5,1
xtrr,74,3377,184,1
lofu,2194,10,110,0
didd,97,292,1486,0
zizu,4429,16,16,0
rtsu,21,121,597,0
tcro,4809,11,84,0
vrfu,485,1051,11,1
wqus,1507,9524,39,1
cqho,572,47,21,1
rkch,3,1049,9,1
wahi,88,8133,13,1
jjfd,18,5,140,0
ldld,3820,145,149,1
bttf,76,246,32,1
xxji,61,94,584,1
dfhy,4668,142,21,1
jjdx,3518,4465,2,0
xmrc,9,741,44,1
qzln,2428,762,157,0
bpny,4169,3404,1598,1
zmfd,2206,594,1966,1
pqxj,1626,708,6,1
judg,464,470,63,1
utyj,22,569,1798,1
ehow,66,126,18,0
zqge,35,87,202,1
gogf,747,87,99,1
jwix,6,164,1250,1
lhbu,80,316,476,0
mggg,96,1093,7,1
atlc,89,712,25,0
oxbp,58,5742,2,0
foum,11,7791,18,0
kkum,13,101,1865,1
gzvq,3584,59,1808,1
uyjy,37,10347,16,1
feau,35,539,4,1
dapg,57,411,345,1
tvwv,1808,451,509,0
ryps,477,579,4,1
jyxr,20,151,16,1
bilv,2160,542,2999,1
vnmj,564,290,201,1
kmyb,76,741,15,0
ifvc,99,4672,22,1
rvcc,98,558,17,1
bfgq,53,59,3,0
ddub,4,477,79,0
evuq,2106,377,122,1
gtgr,85,270,24,1
cpuy,78369,438,22,0
zbzq,884,3763,16,1
twpa,3690,29,814,1
jcjq,95,2,8,1
ccpp,1712,725,81,0
ajfc,83,1012,0,0
uyer,5,310,473,0
gsli,48,72,131,0
iebq,61,120,133,0
vojn,72,8295,10,1
daxr,7,740,182,0
wvon,97,9963,11,1
boli,21,571,209,1
sagz,4526,17,55,1
bexb,9,10465,12,0
ilie,2973,129,96,1
srhu,78,2925,217,1
ulpw,58,521,0,0
osog,26,897,14,1
vxip,84,4898,31,1
tkbl,3837,2,12,0
rwch,77,365,118,0
ylgt,77,69,183,0
pgon,23,712,184,0
zqdp,2323,601,46,0
rlff,7,299,22,1
drss,15,428,308,0
jrci,7,187,583,0
oqdx,6,713,25,1
slnm,2783,0,623,0
vgcc,2521,16,363,1
oauc,2404,747,87,0
wnsq,948,47,497,0
bfyv,1431,473,23,1
hpza,824,726,42,0
cvtf,9,211,42,1
mlfr,1397,473,828,1
hjkl,94,868,3,1
gkmu,93,968,11,0
fhzo,2604,1,9,0
atln,34,427,5,1
wgbx,3651,235,20,0
jtut,93,195,21,1
muhv,3405,546,51,1
hmrs,1605,417,16,0
nmzw,2205,331,371,1
hems,70,290,141,0
sqew,2488,366,309,1
tjrk,48,4933,0,1
fdut,425,306,144,1
orvf,14,529,987,1
tqju,71,6897,456,1
hzjs,22,5034,20,1
kkgg,25,35,126,1
idih,3157,87,1751,1
bnnv,1455,420,24,1
xwsy,3054,218,745,0
appo,82,29,2,1
plcx,87,111,90,1
ejgz,13,10786,3209,1
hfex,2516,908,2674,0
rzzi,3489,418,242,1
pcxj,16,865,135,0
byan,2944,496,23,0
sjko,28,357,22,0
hjyr,1630,232,136,1
wwnx,6,2656,3977,1
vxfo,3845,80,10,1
zgyi,77,494,241,1
qtid,2619,1465,6,1
cept,2,19,167,1
oxha,1557,649,27,1
qlrs,31,26,9,1
tgiw,22,104,22,1
yajz,111,269,7,0
btlh,88,350,6,1
omfu,62,5152,9,0
egab,1224,360,23,1
urqy,45,242,54,1
gyhh,42,578,25,1
onen,1830,148,14,0
rrge,953,548,2590,0
itqn,40,430,0,0
kfyg,3674,13,20,0
opnx,4654,6,181,0
lefm,10,1099,165,0
ylqp,4787,27,22,1
oheo,76,12,343,1
vjal,2601,242,646,0
yqsv,21,544,6,1
odsu,4567,126,508,0
laon,735,419,592,0
ijxv,14,1015,145,1
rtlc,32,63,174,0
tsmr,1385,139,78,1
fwcf,32197,225,245,1
kqmx,32,125,4,0
okks,41,325,1832,0
ycoc,461,727,15,0
hbmk,1090,9185,24,0
ojkv,16,4,238,1
asdf,1243,0,10,0
pwde,2061,78,318,0
wqut,78,42,327,0
zmei,45,655,7,0
tmdu,24,242,640,1
qkqa,1258,1088,25,0
qemw,1432,485,13,1
rddu,92,119,179,1
baqz,3,706,225,0
uoye,94,531,21,1
ikmf,3724,488,399,1
tnrl,90,303,177,0
bfil,38,182,1,1
hqae,4137,75,630,1
qohq,1423,4536,245,1
djnp,780,964,25,0
jbnp,1006,346,12,1
nbmy,85,278,395,0
xrbj,2624,576,319,1
yjlw,77,856,24,0
zsps,85,883,25,0
pfcd,29,891,18,0
imud,18,893,210,1
cosr,36,422,15,0
gkdf,98,286,23,0
vbzi,41,80,17,0
bsra,1259,3072,3054,0
rcyn,40,710,1078,0
piyt,99,598,10,0
poss,1371,1,231,0
ovlm,3810,1952,23,0
lsco,84,506,11,0
cymk,47,915,32,1
ewfq,54,476,3,0
pyiw,94,4395,19,0
rpub,53,8687,872,1
ximh,2670,511,10,1
kzbr,28,1098,10,0
zmpj,0,5412,3,0
tvdl,2139,143,23,0
uezf,79,143,25,0
xsho,3745,12,25,1
qdrl,2631,13,25,1
nywo,17,146,3,1
mkib,2712,514,5,1
cwmc,2748,381,10,0
zdbj,41,435,19,0
neww,100,542,11,0
lqpa,40,96,6,0
prvx,56,198,18,1
canp,72,7606,478,1
kbfy,3396,78,74,0
jiuh,60,567,9,0
zhuz,29,324,111,1
mrqk,3694,448,11,0
mpwj,438,423,12,0
teuh,59,34,142,1
pdoo,31,483,357,0
qukp,223,316,510,1
lzhi,852,67,18,0
uzde,3257,14,23,1
rdkf,3,93,334,0
jmef,621,10458,3,0
pgcq,1872,165,15,1
roie,87,526,60,1
brmv,54,3778,202,1
olfp,21,4550,1,1
twne,49,852,19,1
okxj,0,385,64,1
qwie,91,326,44,0
jrgt,60,637,16,1
qfic,1021,199,187,1
imzu,93,335,238,1
ivej,759,602,19,1
hdzl,71,512,588,1
trgx,407,534,2,0
jpoa,982,483,0,0
ztxa,3284,277,14,0
ifff,3824,5423,351,0
lppo,290,5216,620,0
zrzv,39,589,14,0
hxwk,100,80,17,1
zyop,28,22,1498,1
rcdu,91,111,554,1
tcpy,1702,563,13,1
fgra,2720,283,22,1
vfyr,4198,583,579,0
hywv,11,332,99,1
lpuj,80,355,475,1
ivfu,11,677,57,1
kjay,1222,35,25,1
rfyg,2037,337,0,0
hiyy,539,540,12,1
mlkc,562,641,20,0
rtta,4192,29,513,0
umoy,1655,95,164,0
nwup,1202,7765,9,1
dveo,63,369,279,1
xtko,50,731,226,0
fclp,26,144,1423,1
bpvq,2847,493,329,0
hgfb,2501,1062,83,1
hgkg,4265,38,14,1
qsot,2873,830,21,0
yliv,49,7327,14,0
kqyc,23,392,8,0
aqkd,4051,537,650,0
feer,71,9822,106,1
zejc,2749,8455,203,1
bfkj,16,1096,142,0
svjp,682,340,345,1
xywm,1493,4984,10,0
idxr,69,262,260,0
azbo,36,387,266,0
tuvk,56,529,570,1
swpj,48,5743,14,0
qkza,34,557,4,1
gdfo,601,173,4,1
humt,2942,779,167,1
euyk,2753,494,583,1
vdxf,3803,368,519,1
urok,99,564,19,0
zfkz,4699,93,607,0
txed,41,512,17,0
jkbi,73,113,390,1
pmwd,57,1002,88,1
qvgl,1,62,8,0
ubuo,15,937,191,1
hzru,4079,539,2,0
mpmu,93,444,65,0
adit,91,399,165,0
qvlt,66,270,342,0
hjcf,52,403,89,0
wbyz,42,10,59,0
vucy,78,820,58,1
hkxe,2688,6,15,1
fuxe,91,128,330,0
zypo,4178,290,386,1
ttdx,1664,158,2354,0
fznq,13,165,7,1
fshm,1926,996,91,1
rlmt,4559,110,1495,1
stlg,76,861,100,0
jlba,4741,2113,17,1
eoin,9,1544,462,1
klhg,85,918,249,0
sycp,82,764,12,0
xkqi,2567,1093,68,1
plph,15,330,23,1
uhec,2657,805,106,1
klbf,2966,142,527,1
tyrr,3967,100,18,0
zkyg,2650,680,121,0
yeeu,2283,325,24,0
mnlw,75,15,11,0
wftw,1426,6576,124,1
ifyk,99,225,19,1
mcdg,1901,379,1,1
uidt,1802,656,146,1
yict,64,63,24,1
lcyn,17,454,18,1
dczd,4836,23,9,1
vjma,3885,28,1856,0
gutz,772,567,19,1
porv,47,406,18,1
gblh,2755,4785,30,0
eivp,47,442,0,0
jmfi,48,996,36,1
ivbg,3314,8679,567,1
boeb,4289,188,23,0
oggv,33,752,8,1
vxdr,2947,10157,202,0
zgma,31,845,190,1
ityd,770,7698,4,0
kytg,46,3696,191,1
jtou,31,462,49,1
vhwf,14,428,52,1
hyff,11,1012,93,1
mqfi,76,18,10,0
zphc,1749,787,23,1
sjzc,4974,110,24,1
cyjs,274,655,134,0
vpij,53,298,14,1
mfqj,46,177,20,0
lsyq,747,51,2,1
ijry,298,11,20,1
tibu,99411,246,3970,1
aayl,2585,190,195,0
xvmt,2303,46,350,0
cael,24,737,159,0
elkc,14,86,14,0
jaxp,388,8351,960,0
aipw,85,99,401,1
vxaq,56,108,14,1
qlrq,702,419,209,1
fftg,327,31,148,0
ltsz,42,333,727,0
cpae,4515,13,996,0
dvmt,286,33,1989,0
bdpk,1936,3093,115,1
bjzx,16,5975,10,1
glff,63,7784,142,1
oyoe,39,7402,98,1
rspv,3942,342,429,0
ugdi,58,82,814,1
asvj,40,109,3,0
qxqi,4428,42,473,1
ceru,92,204,7,0
oruf,2364,131,631,1
tgza,25,476,353,1
xuea,100,427,3623,0
fipm,4361,1312,25,1
mbmv,4782,141,43,1
nonz,947,6835,18,1
qwoe,54,5099,4,0
ircu,62,281,435,1
madd,13,523,88,1
qsfc,85,6,72,0
jegj,1752,497,0,0
aguy,64,124,202,0
qufg,4489,69,2,0
qwbd,42,524,21,1
gpwj,83,224,3,0
ktor,65,22,516,1
lvml,2067,37,9,0
homn,29,635,15,1
hkry,3652,348,278,1
whyt,6,7482,0,1
vqil,1727,55,184,1
jgje,83,98,17,0
juer,39,430,38,0
ebcl,91,209,34,1
fucs,3296,1429,94,0
tpdz,4298,139,564,1
tdmo,79283,607,25,1
lqdp,81,454,39,0
vmnw,99,392,239,0
rczp,181,462,11,0
ocdw,40,60,40,1
rriv,1108,954,101,1
jiow,2662,5913,19,0
mstw,2813,495,47,1
fxsf,1535,119,17,0
fhen,1241,2545,10,1
gncl,2112,82,175,1
ngxj,91,570,3,0
pozz,822,2784,10,1
ipzo,3908,1291,13,1
zswy,98,959,2263,0
uzjt,35398,490,174,1
ygwp,4217,25,183,0
uuoe,1540,124,12,1
oynk,36,349,404,0
vtvh,1320,292,5,0
nexw,625,1020,148,1
xlom,10,23,345,0
hmds,93,503,342,1
zxxn,419,522,140,0
xnaz,5,40,24,1
gief,2332,790,16,0
ukjh,2120,4236,113,1
arqq,3866,113,10,0
ntuj,36,115,13,0
xcxw,1326,645,233,1
bevz,1440,208,0,1
rxaf,1607,304,13,1
qpfz,81,300,1,1
mvjo,2676,40,2,1
rwps,10,7,544,0
oagu,92,10471,200,0
lfba,84,170,180,1
xsrc,65,122,9,1
mxzv,71,57,13,0
bhts,1088,379,94,0
cvju,4330,337,15,1
xfri,41,432,586,0
vbyl,20,124,4,0
hjby,3947,33,200,1
binr,40,192,0,0
swsb,2771,160,12,0
vnvx,2281,93,129,1
dnbk,10464,271,232,1
dqnc,2778,4659,1,0
zctt,39,964,20,0
trlo,2983,6460,19,0
svca,4816,141,217,1
svxk,79,949,3,0
bvkl,2507,37,101,0
jded,456,1071,115,0
dpao,34,621,238,1
sjpp,3103,405,160,0
hwva,46,4699,80,1
qjff,1803,8283,155,0
gclo,3198,393,344,0
qyhe,62,87,544,1
lksy,342,654,13,1
bjmk,2281,8677,226,0
yzhi,75,6162,11,0
jnbp,1667,5145,2,0
vxpy,60,166,20,1
jdzc,1639,140,25,1
mopg,32,642,4,1
jyex,36,127,15,0
mqbd,69,406,522,1
tfig,45,145,9,1
zqkm,82,4861,10,0
gwvj,43,5872,140,1
bbjd,870,8120,500,0
dznz,3992,373,50,0
ctwf,52,61,1450,0
ebuh,79,2861,7,1
ityf,64,10624,77,0
llnd,72,1079,122,1
juca,34,3857,168,0
wgmx,34,695,20,1
ehnn,1203,467,321,1
itrq,40,487,59,1
xjih,57,180,18,1
zviv,92,999,19,1
urpv,2923,295,178,1
xvod,71039,805,7,1
ovth,79,409,8,1
sjxt,80,6854,230,1
xcry,757,10092,218,0
ppsn,28,278,18,1
ttky,82,124,33,1
gzfy,50,205,750,1
wrdl,80,268,3720,1
pqsd,1926,2658,1713,0
bquj,99,972,6,1
onbp,49,441,264,0
shjv,48,6814,133,0
bflx,13,2010,24,0
amns,85,658,9,0
tftj,50,238,142,1
walw,5,489,1,1
idvp,357,142,161,0
iiml,72,109,7,0
jior,1372,121,24,1
mvns,25,203,5,0
dpvc,44,16,11,1
qylg,320,630,83,0
bfzi,51,185,340,0
imuk,87,6704,715,0
xmhc,46,1,13,1
lqyi,84,145,74,1
wdpq,47,7058,12,1
mvpl,2322,85,23,0
jlks,80,224,1101,0
cnjz,341,463,5,1
tulh,82,61,586,0
iaya,758,414,4,0
jvfn,48,574,103,0
ijiy,3240,267,577,1
feuv,24,267,0,1
mdjt,67,579,196,0
meio,78,33,452,0
pylq,23,988,197,1
fbtn,52,4167,67,1
ntql,25,215,11,0
abtp,81,943,106,1
zbrp,27,179,1,1
lvks,97,980,139,0
xcmf,86,888,125,0
zxve,4518,8645,616,1
yeij,563,324,6,0
wrec,96,494,134,0
xarj,4357,184,323,1
wwms,2137,546,14,1
hfoz,1473,623,233,0
wngy,14,540,448,1
lqcg,74,301,176,0
xuin,99,41,5,0
mjcu,6,157,253,1
wplu,2349,61,82,0
muhz,3844,62,176,1
ofdj,16,4699,24,1
fbst,79,341,34,1
evbg,1059,10184,25,1
yckq,37,649,2198,0
afaa,4135,6268,609,1
qdjz,66,416,5,0
hsjq,22,217,15,1
oyfe,76,339,122,0
yylf,83,1062,8,0
ltxs,74,5012,6,1
hfeb,546,1282,6,1
tbqp,4339,116,15,1
kulj,91,295,148,1
kizt,76,766,193,0
gkiq,75,194,104,1
htlm,97335,71,17,0
wlrt,1071,83,249,1
tqpz,18,147,76,1
bhit,18,129,11,1
viyo,66,818,19,0
gxxp,587,585,141,0
frrl,2998,13,329,0
yfyg,934,711,8,1
meks,80,15,3,0
mruf,81,517,519,0
asox,64,384,2,1
jghn,20,805,14,1
xoml,12,10,23,1
nzjw,39,658,192,1
hdnm,93,428,178,0
cbtc,70,745,6,1
yriv,4817,43,517,0
tiko,1805,1533,318,1
vlqh,19,7777,403,0
faqr,1830,7044,79,1
kzql,2405,851,21,1
cbfv,4417,211,21,1
kagw,249,8373,22,0
vgbv,2,376,235,1
sohh,91,6428,1,1
aqdh,25,226,286,0
duzx,2733,1083,10,0
kmvg,21,223,612,0
mvkc,85,427,6,0
rvwa,114,6187,24,0
wxua,925,297,387,1
uzrg,403,293,12,0
ovht,96,360,1952,0
nybj,83,144,5,0
aqcr,1323,8,1372,1
mlkq,10,964,10,0
sazq,64,515,6,1
caov,482,2978,504,0
nrkx,37,206,0,0
mfry,9,56,16,1
aext,80,112,10,1
lrfj,9,45,163,1
rvfk,3464,1941,7,1
dlsh,75,354,9,1
bqhg,33,52,56,1
bgil,174,26,88,1
sedr,2401,808,2875,1
kwgq,100,831,1186,0
uocy,46,1096,411,0
orof,18,435,453,0
chbr,2433,380,489,0
hyqn,14,197,120,0
irnp,2751,889,158,0
uitp,94,75,22,1
tbbz,4043,362,7,1
mepc,45,6872,79,0
vogc,84,1085,133,1
nmnf,4813,106,11,1
plru,4,2134,16,1
wquo,75,80,7,0
tbpd,3670,29,508,1
gnui,83,558,9,1
kapa,8,770,10,1
sqth,94,652,234,1
byex,995,71,76,0
gfbt,3647,67,5,1
zjsr,52,459,143,0
cugt,1182,2001,19,1
rzjp,2,837,18,0
ezwf,6,16,25,1
yuvs,50,100,25,1
ukoq,3821,574,364,1
ngos,79,21,25,0
iagx,40,508,13,0
dows,1310,440,212,0
xbmp,1789,600,16,1
kzci,67,426,148,0
dabj,97,530,4,0
axgz,2976,713,4,1
oxjg,1834,92,364,1
pkkx,2117,173,108,0
mcgi,2297,94,3,1
yent,295,831,188,0
omev,143,80,202,0
cwqf,4095,344,315,1
farw,68,543,84,0
krxr,571,496,21,1
rvny,71,111,17,1
sxlc,2791,10,22,1
bpiz,3146,6186,400,0
hawa,324,514,2,1
ppse,59899,124,19,0
rbqc,91,48,4,1
yurz,2893,511,626,0
zuwp,73,565,19,0
xmyp,342,2706,12,1
jjvd,9,598,7,0
qrhr,166,235,177,0
fqdm,1544,212,392,0
dxhy,63,505,16,0
idme,4244,4378,187,0
xdqr,11,3,424,1
hytg,3232,86,262,1
yaif,1875,67,245,1
kqmf,89,420,8,0
onlq,45,109,1,1
htqq,55,102,1251,0
nous,65,114,5,0
bvvl,780,910,114,1
mess,88,65,251,0
bmzc,11,113,96,1
lemb,1183,408,30,0
fhsz,66,5897,412,0
xuny,346,4116,475,1
frqq,4211,222,174,1
iljd,100,713,3081,1
nchj,1839,215,0,0
ehsj,32,540,13,1
nciw,100,1359,1,0
uyzf,95,28,69,0
jxiu,4671,209,298,0
bdka,32,413,1413,0
owzf,3781,95,11,1
silh,29,134,123,0
sijo,26,89,17,0
wgoh,84,444,281,0
okpp,32,4271,1235,1
ydfp,2307,3079,19,1
adpe,32,576,6,1
acta,57,3618,97,0
fojq,29,8260,16,0
lcia,40,6,6,0
yyxc,1554,100,17,0
dgzi,0,460,5,0
yvuk,82,432,292,0
butx,53,591,213,1
cenx,1326,906,92,1
fjht,85,113,11,0
qggt,4819,24,611,1
eoux,51,476,14,1
vctx,36,676,3354,0
ydbr,1,5892,117,0
lcaf,95,538,21,1
wrno,44,574,13,1
aris,3220,476,25,0
opvy,106,47,6,0
xyef,68,2459,19,0
rtuq,37,634,136,0
xdzt,1796,5029,449,1
wazy,7,9,236,1
rmuv,929,288,927,1
wcyr,13,26,81,1
bczx,237,305,9,1
gywy,2891,194,106,0
hmls,2380,838,179,0
gvjr,4835,119,429,1
ykkd,3083,481,393,0
rlhs,60259,637,52,1
fsoy,2128,0,151,1
ipkn,48,473,86,0
qxme,71,817,5,0
eujl,65,19,23,1
gdfi,893,349,198,1
xryr,844,384,5,0
xufq,99532,9892,21,0
alro,1089,1994,12,0
xjkl,73,567,585,1
ynkz,639,39,96,1
vkhl,1200,338,1991,1
pmea,327,64,482,0
uwjj,21,224,24,1
eudu,47,7148,96,0
mhjp,1364,3517,13,0
xpwy,1988,866,122,0
sygm,764,540,10,0
lgzs,72,553,10,1
fucj,3970,570,3,0
nquf,77,77,23,0
vuqf,43,286,264,0
qhiu,39,838,94,1
czdg,62,194,23,0
eggf,27,1169,16,1
zmkw,1,266,24,1
sgnu,444,3317,177,1
vhtb,65,363,221,0
joyv,2063,719,12,0
tvyf,1316,2856,625,0
ziue,4,4320,10,1
gljt,37,954,14,0
eepj,85,1404,1049,0
axek,14,97,193,1
kfap,1044,91,106,0
njvs,94,146,215,1
jweo,79,823,88,1
wnan,42,589,0,1
gdmx,69,392,20,0
mmfw,301,280,357,0
oegb,3495,279,17,1
cagz,38,143,1694,1
cwcx,2621,161,24,1
gvnj,6,7449,66,0
vlco,22,4488,11,1
dyru,3650,460,1370,0
icqd,2463,208,7,1
erpz,2191,132,1,0
qvbp,1485,242,3,0
zcbr,95,504,16,0
stxb,5,10969,5,1
gsil,3281,470,17,1
mudv,4895,389,23,1
lntu,839,210,122,0
zkdv,39,451,9,0
ybxi,2394,494,24,1
unoe,3967,157,9,0
zplh,2306,797,1329,1
tzwr,84,509,24,0
svfx,1135,4333,304,1
javx,1331,227,1,1
zxmg,72,107,6,0
cawc,30,569,11,1
xicg,38,2140,154,0
epta,2769,1050,60,1
yjdn,4147,337,50,0
sesq,95,488,51,1
uoeq,1641,16,25,1
vrgl,2036,117,1915,0
afab,1152,40,528,1
bdvi,804,8362,25,0
itgs,1527,192,830,0
reuh,75,303,2,0
ofhy,137,88,225,0
vlrx,42,130,25,1
otnm,4456,372,20,0
uipp,143,204,13,1
zpnw,100,280,516,1
qldh,1900,9516,186,1
sxye,23,298,115,0
csxe,1,577,5,1
jzjk,81,847,196,1
uked,73,617,1,0
zwlb,18,99,4,1
ssvg,77,304,222,1
huoy,7,188,125,1
oysz,92,5441,7,0
dufe,523,26,225,1
bzxq,3066,557,413,1
vsnt,2092,1096,85,0
vvya,2005,76,153,1
cact,685,26,592,1
qdap,49,462,43,1
gwoh,19,5526,168,1
xxnz,99,687,10,0
bsli,25,44,19,1
lmno,1024,14,3,1
vpdl,70,8,2444,1
wtrm,97,812,130,1
gels,33,122,213,1
gepe,0,29,5,0
alqc,51,802,45,0
ssav,2,273,3,0
xajy,4467,1696,18,1
jmgv,96,23,32,1
bpzy,32,598,25,1
teru,81,84,7,0
pywl,4016,10,448,1
iimb,1311,987,415,1
yllp,5,6788,39,0
ytbs,5,7179,145,1
vvem,35,355,7,1
